Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
France,2021,Malware,Banking,47.14,169113,Insider,Weak Passwords,VPN,55
UK,2019,Man-in-the-Middle,Banking,22.94,844953,Unknown,Weak Passwords,Antivirus,53
Japan,2017,Malware,Banking,9.76,122728,Unknown,Zero-day,AI-based Detection,7
USA,2016,Man-in-the-Middle,Banking,20.44,981595,Nation-state,Weak Passwords,Encryption,56
France,2020,Phishing,Banking,13.38,934436,Unknown,Unpatched Software,Firewall,64
China,2020,SQL Injection,Banking,80.98,708357,Unknown,Weak Passwords,Antivirus,49
Australia,2021,SQL Injection,Banking,92.66,49085,Hacker Group,Weak Passwords,VPN,32
Germany,2020,DDoS,Banking,76.53,46824,Hacker Group,Social Engineering,VPN,39
Germany,2016,Man-in-the-Middle,Banking,3.57,882784,Insider,Weak Passwords,VPN,31
France,2015,DDoS,Banking,51.64,538890,Nation-state,Zero-day,Antivirus,59
France,2015,Phishing,Banking,83.27,288526,Hacker Group,Unpatched Software,Encryption,66
Germany,2019,SQL Injection,Banking,77.65,989592,Insider,Weak Passwords,Antivirus,49
Germany,2023,Phishing,Banking,39.53,339645,Unknown,Weak Passwords,AI-based Detection,2
Australia,2024,DDoS,Banking,88.79,810930,Insider,Weak Passwords,AI-based Detection,30
France,2017,Phishing,Banking,77.41,654122,Nation-state,Social Engineering,AI-based Detection,68
Brazil,2021,Man-in-the-Middle,Banking,81.68,893986,Insider,Unpatched Software,Firewall,47
India,2019,DDoS,Banking,35.31,961173,Insider,Social Engineering,VPN,37
Brazil,2021,Malware,Banking,34.68,786462,Unknown,Weak Passwords,Firewall,17
Japan,2021,DDoS,Banking,74.26,81354,Insider,Weak Passwords,Firewall,6
UK,2021,Phishing,Banking,88.38,281387,Hacker Group,Social Engineering,Firewall,55
France,2015,Malware,Banking,30.15,205850,Insider,Unpatched Software,Firewall,72
China,2023,Man-in-the-Middle,Banking,3.47,194670,Nation-state,Social Engineering,Firewall,29
USA,2023,DDoS,Banking,53.59,750875,Nation-state,Weak Passwords,Encryption,30
India,2023,Phishing,Banking,87.62,210006,Nation-state,Social Engineering,VPN,27
Australia,2018,DDoS,Banking,64.29,113775,Insider,Weak Passwords,AI-based Detection,14
India,2021,Ransomware,Banking,54.97,798498,Nation-state,Zero-day,VPN,54
USA,2018,DDoS,Banking,6.61,646433,Insider,Social Engineering,Firewall,37
Germany,2016,DDoS,Banking,44.17,236438,Hacker Group,Weak Passwords,Antivirus,24
Brazil,2021,SQL Injection,Banking,50.61,772512,Hacker Group,Weak Passwords,Encryption,42
India,2016,SQL Injection,Banking,4.31,520308,Insider,Zero-day,VPN,39
Russia,2018,Man-in-the-Middle,Banking,86.87,800683,Nation-state,Unpatched Software,Firewall,57
Australia,2017,Malware,Banking,25.76,801821,Unknown,Weak Passwords,AI-based Detection,18
Germany,2018,DDoS,Banking,81.34,52799,Insider,Zero-day,AI-based Detection,38
France,2016,Ransomware,Banking,62.73,596776,Nation-state,Zero-day,Firewall,17
Brazil,2015,Man-in-the-Middle,Banking,74.27,551388,Unknown,Unpatched Software,Encryption,51
India,2017,DDoS,Banking,45.98,538245,Hacker Group,Weak Passwords,AI-based Detection,18
Brazil,2020,SQL Injection,Banking,68.05,912770,Unknown,Zero-day,AI-based Detection,67
UK,2023,Man-in-the-Middle,Banking,15.01,416522,Insider,Social Engineering,VPN,63
Russia,2021,Phishing,Banking,78.45,56333,Unknown,Social Engineering,VPN,8
Japan,2017,SQL Injection,Banking,18.01,295917,Unknown,Weak Passwords,VPN,57
Germany,2021,Phishing,Banking,48.0,170032,Nation-state,Social Engineering,Encryption,24
India,2016,Ransomware,Banking,93.74,339815,Insider,Weak Passwords,Firewall,58
Russia,2020,Ransomware,Banking,13.66,820140,Insider,Social Engineering,VPN,63
China,2015,Phishing,Banking,18.39,541829,Nation-state,Zero-day,Antivirus,33
China,2017,Man-in-the-Middle,Banking,62.39,855974,Unknown,Social Engineering,VPN,44
Japan,2023,Man-in-the-Middle,Banking,65.8,193620,Nation-state,Zero-day,VPN,67
China,2024,SQL Injection,Banking,58.32,777684,Unknown,Zero-day,VPN,31
France,2017,Malware,Banking,40.87,719537,Nation-state,Zero-day,AI-based Detection,23
India,2016,Man-in-the-Middle,Banking,15.28,995025,Unknown,Weak Passwords,AI-based Detection,52
UK,2018,Malware,Banking,41.34,82287,Unknown,Unpatched Software,Encryption,61
Germany,2023,Ransomware,Banking,52.88,982507,Unknown,Unpatched Software,Encryption,39
Japan,2024,SQL Injection,Banking,67.37,521384,Unknown,Social Engineering,Antivirus,32
USA,2020,DDoS,Banking,60.2,998937,Nation-state,Zero-day,Antivirus,19
Japan,2023,Phishing,Banking,82.36,612815,Insider,Zero-day,Antivirus,12
India,2023,Ransomware,Banking,57.15,704230,Nation-state,Zero-day,VPN,71
China,2017,Man-in-the-Middle,Banking,47.52,83617,Insider,Unpatched Software,AI-based Detection,64
Brazil,2018,Malware,Banking,87.13,99178,Nation-state,Unpatched Software,Antivirus,27
UK,2017,Malware,Banking,11.25,636273,Insider,Zero-day,Antivirus,30
Russia,2017,Man-in-the-Middle,Banking,66.53,45277,Insider,Social Engineering,Firewall,43
Brazil,2018,Malware,Banking,3.1,458185,Insider,Social Engineering,AI-based Detection,31
Russia,2021,Man-in-the-Middle,Banking,44.32,634390,Unknown,Zero-day,Antivirus,54
Germany,2016,Malware,Banking,84.54,517353,Nation-state,Social Engineering,Antivirus,41
Germany,2023,Man-in-the-Middle,Banking,92.48,1326,Nation-state,Social Engineering,Antivirus,11
UK,2015,Phishing,Banking,51.38,630931,Insider,Zero-day,AI-based Detection,48
France,2015,Man-in-the-Middle,Banking,27.2,559841,Nation-state,Unpatched Software,VPN,22
Germany,2022,SQL Injection,Banking,52.91,619669,Unknown,Unpatched Software,Antivirus,19
UK,2017,Phishing,Banking,1.54,31262,Unknown,Social Engineering,Firewall,56
Russia,2016,Malware,Banking,3.6,661377,Hacker Group,Weak Passwords,Antivirus,66
China,2017,SQL Injection,Banking,29.39,206897,Unknown,Zero-day,Encryption,18
Brazil,2022,SQL Injection,Banking,5.85,52649,Nation-state,Unpatched Software,Encryption,57
Brazil,2018,Malware,Banking,31.56,940038,Hacker Group,Zero-day,Antivirus,24
Brazil,2015,SQL Injection,Banking,89.39,988268,Unknown,Zero-day,VPN,44
USA,2022,Malware,Banking,46.75,239200,Nation-state,Social Engineering,Encryption,8
Australia,2019,Man-in-the-Middle,Banking,27.0,286038,Nation-state,Social Engineering,Encryption,43
Australia,2020,Phishing,Banking,42.03,454763,Hacker Group,Social Engineering,Firewall,14
UK,2023,Ransomware,Banking,49.89,638668,Nation-state,Social Engineering,Encryption,47
Brazil,2018,Malware,Banking,17.52,334945,Nation-state,Weak Passwords,Antivirus,33
Japan,2015,Ransomware,Banking,6.57,443408,Hacker Group,Weak Passwords,Encryption,71
USA,2017,Man-in-the-Middle,Banking,59.54,839892,Nation-state,Weak Passwords,Encryption,20
China,2022,SQL Injection,Banking,1.16,297461,Hacker Group,Zero-day,Firewall,15
Japan,2020,Ransomware,Banking,37.38,273660,Insider,Weak Passwords,Firewall,6
China,2018,Man-in-the-Middle,Banking,9.77,881294,Insider,Unpatched Software,AI-based Detection,3
India,2023,Ransomware,Banking,42.02,827952,Hacker Group,Unpatched Software,AI-based Detection,21
India,2024,Malware,Banking,14.01,141437,Nation-state,Weak Passwords,Firewall,10
Australia,2018,Malware,Banking,68.32,843891,Unknown,Weak Passwords,Antivirus,31
France,2024,Ransomware,Banking,97.53,759522,Unknown,Weak Passwords,VPN,39
UK,2024,Ransomware,Banking,12.22,860343,Hacker Group,Weak Passwords,Antivirus,42
Australia,2018,SQL Injection,Banking,50.23,793612,Nation-state,Zero-day,Firewall,12
UK,2016,Malware,Banking,49.92,848188,Nation-state,Unpatched Software,VPN,12
Japan,2020,SQL Injection,Banking,64.25,877560,Nation-state,Weak Passwords,Encryption,61
UK,2021,Man-in-the-Middle,Banking,71.88,757595,Insider,Weak Passwords,VPN,40
Russia,2016,Ransomware,Banking,28.79,183711,Insider,Zero-day,Encryption,50
Germany,2016,Phishing,Banking,40.18,153211,Nation-state,Weak Passwords,Encryption,43
Japan,2022,Phishing,Banking,12.42,570853,Unknown,Unpatched Software,Encryption,4
USA,2023,SQL Injection,Banking,98.91,995462,Unknown,Unpatched Software,Firewall,33
Russia,2016,DDoS,Banking,87.62,922456,Insider,Zero-day,VPN,67
Brazil,2021,SQL Injection,Banking,4.34,258021,Hacker Group,Unpatched Software,Encryption,46
India,2022,SQL Injection,Banking,27.86,310150,Unknown,Unpatched Software,AI-based Detection,21
India,2022,DDoS,Banking,92.23,626017,Unknown,Unpatched Software,Antivirus,1
Germany,2018,Man-in-the-Middle,Banking,89.87,15909,Nation-state,Zero-day,Antivirus,19
UK,2023,Man-in-the-Middle,Banking,24.28,998547,Unknown,Weak Passwords,Antivirus,46
India,2024,DDoS,Banking,47.1,21292,Insider,Social Engineering,Antivirus,10
Australia,2023,Malware,Banking,25.7,993215,Nation-state,Zero-day,AI-based Detection,56
Australia,2017,DDoS,Banking,16.58,744201,Hacker Group,Zero-day,VPN,7
Japan,2017,Phishing,Banking,61.33,762300,Nation-state,Social Engineering,VPN,20
China,2019,DDoS,Banking,33.88,761910,Hacker Group,Zero-day,Antivirus,27
Japan,2022,SQL Injection,Banking,34.03,700439,Insider,Zero-day,Encryption,41
UK,2024,Phishing,Banking,66.65,170892,Unknown,Zero-day,AI-based Detection,47
Russia,2023,DDoS,Banking,78.71,315219,Unknown,Social Engineering,Antivirus,30
China,2023,Phishing,Banking,55.94,383589,Unknown,Weak Passwords,Firewall,7
France,2016,DDoS,Banking,77.29,120341,Nation-state,Zero-day,VPN,45
Germany,2021,SQL Injection,Banking,69.07,264662,Insider,Social Engineering,AI-based Detection,46
Russia,2019,Malware,Banking,98.59,148622,Nation-state,Weak Passwords,Firewall,6
Japan,2020,Man-in-the-Middle,Banking,73.85,278424,Nation-state,Zero-day,Encryption,9
USA,2015,DDoS,Banking,98.39,306320,Insider,Unpatched Software,AI-based Detection,41
Australia,2022,Phishing,Banking,64.07,800131,Unknown,Zero-day,AI-based Detection,69
UK,2015,Ransomware,Banking,32.0,712739,Nation-state,Weak Passwords,Antivirus,17
Russia,2017,SQL Injection,Banking,76.84,883919,Hacker Group,Social Engineering,VPN,8
Russia,2019,Phishing,Banking,58.38,826778,Insider,Zero-day,AI-based Detection,59
USA,2016,Man-in-the-Middle,Banking,57.26,852868,Unknown,Unpatched Software,Firewall,8
India,2018,Malware,Banking,20.76,68718,Insider,Social Engineering,Encryption,47
Russia,2018,Malware,Banking,23.14,159475,Insider,Zero-day,Encryption,19
Australia,2015,Phishing,Banking,99.2,666877,Nation-state,Weak Passwords,Antivirus,28
China,2017,Phishing,Banking,38.69,240400,Unknown,Weak Passwords,Encryption,10
USA,2022,Ransomware,Banking,34.58,322611,Unknown,Unpatched Software,VPN,16
Russia,2022,DDoS,Banking,84.09,153829,Hacker Group,Weak Passwords,VPN,6
France,2021,SQL Injection,Banking,78.89,704427,Hacker Group,Zero-day,VPN,30
Brazil,2015,Ransomware,Banking,63.14,545908,Insider,Social Engineering,AI-based Detection,2
India,2019,DDoS,Banking,14.98,849664,Unknown,Social Engineering,Antivirus,40
Russia,2019,Ransomware,Banking,28.14,594170,Nation-state,Social Engineering,AI-based Detection,53
UK,2021,Malware,Banking,60.14,191427,Nation-state,Zero-day,Encryption,56
France,2025,Ransomware,Finance,2.3,100000,REvil,Supply Chain,Backup Recovery,336
France,2025,Ransomware,Fintech,25.0,500000,Unknown,Third-party Server,Isolation,504
USA,2024,Ransomware,Banking,70.0,1500000,REvil,Software Exploitation,Incident Response Team,528
France,2024,Phishing,Finance,5.9,800000,Unknown,Social Engineering,User Training,72
USA,2023,Data Breach,Finance,150.0,10000000,Unknown,Database Vulnerability,Multi-factor Authentication,480
Germany,2023,Ransomware,Banking,18.0,1200000,Conti,Email Phishing,Network Segmentation,360
UK,2023,APT,Finance,30.0,2500000,APT29,Zero-day Exploit,Threat Intelligence,672
Russia,2022,APT,Banking,11.0,500000,OPERA1ER,Network Intrusion,Endpoint Detection,480
France,2022,Ransomware,Fintech,12.0,750000,LockBit,Remote Access,Backup Recovery,240
USA,2022,Supply Chain,Finance,85.0,3000000,Lapsus$,Third-party Software,Vendor Assessment,720
France,2021,Ransomware,Banking,8.0,600000,DarkSide,VPN Vulnerability,Incident Response,168
USA,2021,Supply Chain,Finance,200.0,18000,SolarWinds hackers,Software Supply Chain,Code Signing,2160
USA,2021,Ransomware,Finance,1.0,50000,NetWalker,Email Attachment,Email Filtering,120
UK,2020,Ransomware,Finance,6.0,200000,REvil,Remote Desktop,Isolation,192
USA,2020,Data Breach,Finance,440.0,440000000,Unknown,Database Misconfiguration,Access Control,48
UK,2019,Ransomware,Fintech,2.3,150000,REvil,Network Vulnerability,Bitcoin Payment,720
USA,2019,Malware,Banking,1000.0,100000000,Carbanak,Phishing Email,Network Monitoring,8760
France,2018,APT,Banking,7.0,300000,OPERA1ER,Banking Software,Fraud Detection,240
India,2018,ATM Skimming,Banking,13.5,32000,Lazarus Group,ATM Software,ATM Upgrade,168
USA,2017,Data Breach,Finance,1400.0,147000000,Unknown,Web Application,Credit Monitoring,2160
USA,2016,Mobile Payment Fraud,Fintech,15.0,250000,Unknown,Mobile App Vulnerability,App Update,168
Russia,2015,Banking Trojan,Banking,1000.0,1000000,Carbanak,Phishing Campaign,International Cooperation,8760
USA,2015,Data Breach,Finance,5.5,25000,Unknown,Database Access,Data Encryption,240
Nigeria,2021,Ransomware,Banking,2.0,150000,Unknown,Network Intrusion,Backup Recovery,72
South Africa,2024,Data Breach,Banking,5.5,41000,Unknown,Phishing,Multi-factor Authentication,240
Kenya,2023,Ransomware,Banking,1.2,75000,LockBit,Remote Access,Backup Recovery,96
Morocco,2023,Ransomware,Finance,1.8,40000,Unknown,Insider Threat,Network Segmentation,168
Senegal,2021,Card Fraud,Banking,1.6,12000,Local Gang,Card Cloning,Chip Cards,36
Egypt,2019,Ransomware,Banking,2.1,50000,REvil,Malware,Backup Recovery,120
Ghana,2022,Phishing,Finance,0.9,34000,Remote Phisher,Social Engineering,User Training,24
Nigeria,2023,Ransomware,Fintech,4.4,67000,Unknown,Cloud Misconfiguration,Cloud Security Audit,144
South Africa,2023,Ransomware,Finance,2.3,90000,Unknown,Zero-day Exploit,Patch Management,192
Nigeria,2023,Phishing,Banking,1.6,10500,Unknown,Human Error,User Training,36
Kenya,2024,Ransomware,Banking,2.2,21700,LockBit,Remote Access,Backup Recovery,120
Ghana,2022,BEC/FOVI,Finance,4.1,1800,Black Axe,Business Email,Incident Response,28
South Africa,2025,Data Breach,Fintech,12.0,45000,Unknown,API Exposure,Multi-factor Auth,250
Morocco,2023,DDoS,Banking,2.7,2100,Anonymous,Network Flood,DDoS Protection,12
Egypt,2020,Scam,Banking,1.9,12000,Phishing Group,Phishing Site,User Awareness,24
Senegal,2021,Ransomware,Banking,0.9,7800,Unknown,Network Intrusion,Backup,96
South Africa,2025,BEC/FOVI,Finance,8.2,2750,Black Axe,Business Email,Threat Intelligence,16
Nigeria,2025,Mobile Payment,Fintech,2.1,6180,SIM Swapper,SIM Swap,SIM Lock,48
